timestamp;custom sunup;custom sundown;AD sunup;AD sundown;AD sunrise;AD sunset
11:32;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:33;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:34;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:35;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:36;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:37;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:38;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:39;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:40;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:41;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:42;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:43;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:44;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:45;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:46;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:47;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:48;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:49;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:50;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:51;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:52;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:53;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:54;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:55;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:56;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:57;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:58;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
11:59;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:0;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:1;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:2;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:3;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:4;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:5;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:6;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:7;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:8;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:9;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:10;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:11;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:12;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:13;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:14;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:15;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:16;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:17;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:18;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:19;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:20;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:21;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:22;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:23;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:24;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:25;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:26;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:27;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:28;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:29;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:30;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:31;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:32;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:33;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:34;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
