#Timestamp [s];#kWh stand;#staat
1566640908;0,236;dryer off
1566642768;0,244;dryer on
1566647208;0,633;dryer off
1566652908;0,781;dryer on
1566660107;1,194;dryer off
1566988239;0;dryer on
1566997178;0;dryer off
1567182574;1,596;dryer on
1567190073;1,596;dryer off
1567616182;0,908;dryer on
1567623382;0,908;dryer off
1567776918;1,688;dryer on
1567785378;2,973;dryer off
1567786698;3,031;dryer on
1567792877;3,031;dryer off
1568203806;0,378;dryer on
1568373422;1,267;dryer on
1568379962;1,566;dryer off
1568561637;1,501;dryer on
1568566377;1,501;dryer off
1568970706;1,423;dryer on
1568976052;1,681;dryer on
1568976766;1,694;dryer off
1569073423;0,59;dryer on
1569080503;1,171;dryer off
1569166781;0,693;dryer on
1569172121;1,259;dryer off
1569588869;1,365;dryer on
1569596729;1,365;dryer off
1569754465;0,573;dryer on
1569759625;0,84;dryer off
1569773785;1,157;dryer on
1569780984;1,157;dryer off
1569944960;0,665;dryer on
1569950900;0,665;dryer off
1570207213;1,351;dryer on
1570215253;1,351;dryer off
1570360153;1,246;dryer on
1570365432;1,246;dryer off
1570629965;1,052;dryer on
1570636085;1,575;dryer off
1570801021;1,648;dryer on
1570806301;1,648;dryer off
1570862219;0;dryer on
1570868879;0;dryer off
1571246727;1,147;dryer on
1571253147;1,147;dryer off
1571399303;1,423;dryer on
1571406262;1,423;dryer off
1571585478;0,819;dryer on
1571589678;1,694;dryer off
1571592737;1,79;dryer on
1571596817;1,79;dryer off
1571925429;1,365;dryer on
1571932268;1,927;dryer off
1572284879;1,422;dryer on
1572291179;1,422;dryer off
1572597291;1,047;dryer on
1572606051;2,349;dryer off
1572609710;2,356;dryer on
1572616190;2,559;dryer off
1572716867;0,467;dryer on
1572720347;0,467;dryer off
1573231339;1,545;dryer on
1573238539;1,545;dryer off
1573502111;1,369;dryer on
1573508291;1,369;dryer off
1573657686;0,899;dryer on
1573665126;0,899;dryer off
1573907519;1,527;dryer on
1573919219;1,527;dryer off
1574435323;2,371;dryer on
1574443183;2,371;dryer off
1574617238;0,559;dryer on
1574624498;0,559;dryer off
1575018086;1,181;dryer on
1575027386;1,53;dryer off
1575030986;1,53;dryer on
1575031706;1,531;dryer off
1575040346;2,973;dryer on
1575047425;2,973;dryer off
1575465553;0,664;dryer on
1575471313;1,532;dryer off
1575480793;2,605;dryer on
1575482187;2,606;dryer on
1575484692;2,606;dryer off
1575613209;0;dryer on
1575613569;0,002;dryer off
1575636008;2,006;dryer on
1575642848;2,373;dryer off
1579256361;1,511;dryer on
1579263861;1,917;dryer off
1579587971;0;dryer on
1579594571;0;dryer off
1579869543;1,932;dryer on
1579876743;2,382;dryer off
1580558749;1,568;dryer on
1580566549;1,568;dryer off
1580650726;1,549;dryer on
1580657746;2,961;dryer off
1580667646;3,045;dryer on
1580674485;3,045;dryer off
1580926838;2,461;dryer on
1580932238;2,461;dryer off
1581068554;1,006;dryer on
1581073594;1,225;dryer off
1581100833;2,992;dryer on
1581106894;2,992;dryer off
